"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"397","DGKELBDO_00743",0.308199999999999,13.9504333333333,2.12765446224894,0.0572205427853835,0.134404605882107,-5.17911152803272
"1362","DGKELBDO_02400",-0.134766666666668,16.3023916666667,-2.12620358659223,0.0573640832468554,0.134602896154544,-5.18147141267498
"2749","DGKELBDO_04706",-0.136300000000002,17.4235,-2.12596987411049,0.0573872372052535,0.134602896154544,-5.1818514905842
"1509","DGKELBDO_02648",0.258300000000002,16.9893166666667,2.12164306706103,0.0578174997735765,0.135514942162709,-5.18888494370339
"2147","DGKELBDO_03604",-0.269200000000001,15.5320916666667,-2.12101400654994,0.0578803084095084,0.135565045895427,-5.18990702833472
"1433","DGKELBDO_02541",0.2422,16.3570166666667,2.1195961046121,0.0580221163660613,0.135774598890406,-5.19221035230725
"853","DGKELBDO_01538",-0.164366666666668,14.7724416666667,-2.11929003733173,0.0580527701245962,0.135774598890406,-5.19270746351755
"3015","DGKELBDO_05162",0.682333333333332,12.674625,2.11484001079589,0.0585001943753906,0.136643518383763,-5.19993182638229
"2674","DGKELBDO_04510",0.201100000000002,14.9355166666667,2.11476450104271,0.0585078145646857,0.136643518383763,-5.20005435838005
"1204","DGKELBDO_02093",0.226466666666667,21.8408833333333,2.11202624175256,0.0587847867569188,0.137192455255805,-5.20449660022162
"734","DGKELBDO_01319",-0.51026666666667,20.4641083333333,-2.11141302754118,0.0588469827694213,0.137239720328971,-5.20549108479949
"2710","DGKELBDO_04618",0.227333333333332,15.348375,2.11045763820996,0.0589440085432218,0.137368088285913,-5.20704025713672
"1470","DGKELBDO_02593",0.183533333333333,15.5252416666667,2.10669840483173,0.0593272551382597,0.138162831894936,-5.21313307609513
"2475","DGKELBDO_04140",-0.242166666666666,13.6413333333333,-2.10300709016406,0.0597058723171582,0.138927293428197,-5.21911143708535
"1240","DGKELBDO_02152",0.858266666666667,12.25175,2.1026712312787,0.0597404345517951,0.138927293428197,-5.21965516974493
"2998","DGKELBDO_05133",-0.297066666666666,14.1887833333333,-2.10223189485194,0.0597856739347256,0.138933753632402,-5.22036637100855
"3136","DGKELBDO_05396",-0.320066666666669,17.1131416666667,-2.101242359293,0.0598876872311435,0.139072045862528,-5.22196801258097
"2947","DGKELBDO_05050",0.207166666666662,18.9369083333333,2.10046252479853,0.0599681980302733,0.139160243939755,-5.2232300152793
"389","DGKELBDO_00731",0.302233333333334,13.5747583333333,2.09393969115961,0.0606456424089142,0.140632559859651,-5.2337782287049
"2175","DGKELBDO_03664",0.755166666666669,12.5246416666667,2.09262925358599,0.0607826111527004,0.140850356722122,-5.23589570889057
"1130","DGKELBDO_01969",-0.157599999999999,21.7959583333333,-2.09204689577741,0.0608435738065425,0.140891842530083,-5.23683653755985
"1020","DGKELBDO_01813",0.13656666666667,20.6166833333333,2.08980372328726,0.0610789351243137,0.141336828661071,-5.24045946887648
"1911","DGKELBDO_03256",0.200433333333333,15.6022416666667,2.08796614179376,0.0612723813136018,0.141684262655905,-5.24342611466279
"2383","DGKELBDO_03998",0.157833333333336,16.5454083333333,2.08613388611106,0.061465843117694,0.142031242006423,-5.24638306704381
"1109","DGKELBDO_01943",-0.182500000000001,15.789875,-2.08430761498434,0.0616592471474232,0.142377598211975,-5.24932927061321
"469","DGKELBDO_00859",0.229199999999999,14.8978,2.08088909536949,0.0620228177477779,0.143116121065395,-5.25484120899269
"2913","DGKELBDO_04999",-0.198333333333338,14.668425,-2.08013218282267,0.0621035910927403,0.143134271137054,-5.25606111780689
"2715","DGKELBDO_04625",-0.515000000000002,14.3482666666667,-2.07999562895966,0.0621181739042226,0.143134271137054,-5.2562811803222
"631","DGKELBDO_01106",0.153066666666668,19.6584916666667,2.07954935584184,0.0621658546923779,0.143143333253667,-5.2570003261622
"1136","DGKELBDO_01985",-0.203266666666666,15.60655,-2.07768957062651,0.0623649304076605,0.14350074000975,-5.2599965668242
"1503","DGKELBDO_02637",-0.210533333333334,14.519725,-2.07453668989378,0.0627037972780407,0.14410160846952,-5.26507346449151
"871","DGKELBDO_01569",0.476533333333336,12.2446916666667,2.07444064319206,0.0627141474512823,0.14410160846952,-5.26522807122508
"873","DGKELBDO_01572",0.393499999999992,22.313275,2.07347591523082,0.0628181977909712,0.144142536932838,-5.26678082791448
"200","DGKELBDO_00305",-0.196766666666665,14.2515833333333,-2.0733369453072,0.062833199748059,0.144142536932838,-5.26700447848362
"905","DGKELBDO_01612",-0.1935,14.133525,-2.07305061695561,0.0628641198664915,0.144142536932838,-5.26746525942935
"1988","DGKELBDO_03360",-0.131199999999996,16.3136916666667,-2.06856902693096,0.0633499533778894,0.144987350440767,-5.27467381853251
"2222","DGKELBDO_03734",-0.173466666666668,14.4138,-2.06846947724184,0.0633607853025609,0.144987350440767,-5.27483386655132
"393","DGKELBDO_00736",-0.813066666666666,12.417225,-2.06814238787326,0.0633963879396452,0.144987350440767,-5.2753597113719
"648","DGKELBDO_01135",0.426666666666664,15.2098833333333,2.06764072608039,0.0634510288783055,0.144987350440767,-5.27616613796804
"827","DGKELBDO_01466",-0.4594,14.084625,-2.06761234391728,0.0634541215865458,0.144987350440767,-5.27621176008218
"1889","DGKELBDO_03231",0.321833333333331,16.824075,2.06549323028929,0.0636854360387717,0.145414338254613,-5.27961730965109
"274","DGKELBDO_00492",0.408966666666668,11.4555666666667,2.06418976106739,0.0638281123683071,0.145634360023741,-5.2817113206766
"1489","DGKELBDO_02617",0.3019,15.6308833333333,2.06380017034016,0.0638708149859624,0.145634360023741,-5.28233708398249
"1424","DGKELBDO_02531",0.366933333333336,13.9818833333333,2.06327440045135,0.0639284867373485,0.145664351395964,-5.28318149847822
"1379","DGKELBDO_02427",-0.128833333333329,17.3320416666667,-2.0610739698133,0.0641703850002894,0.146016110961999,-5.28671450015128
"2115","DGKELBDO_03563",0.268766666666664,18.562875,2.06105824079976,0.064172117225964,0.146016110961999,-5.28673974872578
"121","DGKELBDO_00185",0.123233333333332,16.4329666666667,2.06020614583775,0.0642660237283096,0.146128165141785,-5.2881074267056
"2007","DGKELBDO_03397",2.91449666666666,15.4690591666667,2.05836122642384,0.0644697897639885,0.146489688963729,-5.29106782593519
"901","DGKELBDO_01608",0.206466666666667,16.2253333333333,2.05693997273774,0.0646271778903675,0.146745403231979,-5.29334761815677
"2723","DGKELBDO_04634",0.158066666666667,15.5047416666667,2.05620232892013,0.0647090063348116,0.146829312571084,-5.29453058222654
"49","DGKELBDO_00064",-0.2544,14.9951083333333,-2.05365443429892,0.064992400853118,0.147326074686895,-5.29861523929
"3098","DGKELBDO_05303",-0.470366666666663,15.01755,-2.05342491820962,0.0650179865060747,0.147326074686895,-5.29898307988321
"3038","DGKELBDO_05197",0.395199999999999,14.0180166666667,2.05242261198794,0.065129831247521,0.147477375669127,-5.30058924521349
"526","DGKELBDO_00956",0.214700000000001,14.775675,2.05111662947128,0.0652758341208867,0.147705760196087,-5.30268153007301
"1407","DGKELBDO_02498;DGKELBDO_00459;DGKELBDO_00472;DGKELBDO_02282;DGKELBDO_02506",0.767533333333335,11.39715,2.0474058754729,0.0656923618934578,0.148446721573787,-5.30862327205386
"997","DGKELBDO_01751",0.186033333333333,13.6906666666667,2.04718867949109,0.0657168191788784,0.148446721573787,-5.30897090540695
"2330","DGKELBDO_03927",0.155566666666669,14.6989166666667,2.04698826194462,0.065739394731179,0.148446721573787,-5.30929166969385
"126","DGKELBDO_00190",-0.137200000000004,17.744175,-2.04507039600269,0.0659557972944772,0.148684580798664,-5.31236048034373
"3208","DGKELBDO_05525",0.504366666666662,16.712825,2.04489440276244,0.0659756890283789,0.148684580798664,-5.3126420270402
"2165","DGKELBDO_03653",-0.400866666666667,12.1543666666667,-2.04467379088428,0.0660006317764974,0.148684580798664,-5.31299493777834
"2781","DGKELBDO_04770",0.329266666666667,14.317325,2.04444510891323,0.0660264963020964,0.148684580798664,-5.31336074054071
"496","DGKELBDO_00905",0.679466666666666,12.1017416666667,2.04279205157687,0.0662137450151386,0.149003695797478,-5.31600445922607
"1980","DGKELBDO_03352",0.189199999999998,14.888625,2.03892174643347,0.0666541050548695,0.149891568205865,-5.32219052215757
"1010","DGKELBDO_01798",-0.255500000000001,16.2418166666667,-2.03712307966808,0.0668596912316016,0.150250624800687,-5.32506364312071
"2644","DGKELBDO_04432",0.387833333333335,15.6360916666667,2.0363501128555,0.0669482236190157,0.150255606454987,-5.32629800658084
"42","DGKELBDO_00057",-0.118333333333332,16.5789166666667,-2.03630188323173,0.0669537512870939,0.150255606454987,-5.32637501840324
"1715","DGKELBDO_02939",0.311466666666668,15.8738416666667,2.03468042518883,0.0671398386642097,0.150437724425565,-5.32896365153142
"15","DGKELBDO_00020",-0.297566666666668,13.4155833333333,-2.03454071053237,0.067155895793338,0.150437724425565,-5.32918666116865
"1746","DGKELBDO_02977",-0.146433333333334,15.5351583333333,-2.03439335678876,0.067172834775596,0.150437724425565,-5.32942185681423
"2482","DGKELBDO_04149",0.667129999999997,10.5226925,2.0307360551052,0.0675945460872664,0.151278628452487,-5.33525696405681
"1559","DGKELBDO_02716",-1.09103333333334,15.3056083333333,-2.02851334376489,0.0678520525667215,0.151682917831676,-5.33880095057469
"586","DGKELBDO_01049",-0.211766666666666,16.2625,-2.02826927428557,0.0678803846429144,0.151682917831676,-5.33919000025788
"2511","DGKELBDO_04213",0.270833333333332,13.1131916666667,2.02797753528708,0.0679142648604539,0.151682917831676,-5.33965500838803
"3013","DGKELBDO_05156",0.254666666666667,15.8372416666667,2.02740585486351,0.0679807012441985,0.151727731562768,-5.34056613391307
"3177","DGKELBDO_05485",0.433966666666663,19.85065,2.02388342594809,0.0683913987175622,0.152512834518089,-5.34617753805036
"3206","DGKELBDO_05522",-0.144466666666663,17.1232416666667,-2.02359026161413,0.0684256849243747,0.152512834518089,-5.34664436699588
"1030","DGKELBDO_01830",0.635533333333333,12.3182583333333,2.02235362600488,0.068570489671124,0.152731546769175,-5.34861322768695
"3252","DGKELBDO_05586",-0.22433333333333,18.7029666666667,-2.01891950728107,0.0689741188818814,0.15352606597382,-5.35407789749304
"676","DGKELBDO_01216",-0.143400000000003,16.791675,-2.01703634785729,0.0691964006668651,0.15382473803599,-5.35707277597129
"2834","DGKELBDO_04867",-0.497100000000001,13.7823916666667,-2.01698621677521,0.0692023271359954,0.15382473803599,-5.35715248466718
"3122","DGKELBDO_05345",1.4831,12.5360966666667,2.01649513023583,0.0692604082810392,0.153830725760401,-5.35793326785661
"1698","DGKELBDO_02912",-0.274966666666669,15.770475,-2.01616862604143,0.069299049440963,0.153830725760401,-5.35845233267268
"1123","DGKELBDO_01961",0.145266666666666,15.4013083333333,2.01411740958972,0.0695422696006978,0.154238470149897,-5.36171241835985
"1373","DGKELBDO_02421",1.11787666666667,10.7329675,2.01382495908928,0.069577011595736,0.154238470149897,-5.36217710062104
"2648","DGKELBDO_04436",-1.24043333333333,13.6512666666667,-2.01326768139648,0.0696432590657718,0.154280801396889,-5.36306248951788
"3119","DGKELBDO_05342",2.62496666666667,14.9404166666667,2.01001589648444,0.070031001199727,0.155034801032143,-5.36822663764339
"970","DGKELBDO_01712",0.1249,18.9006166666667,2.00940604413073,0.0701039446500331,0.155072492895911,-5.36919472174643
"1726","DGKELBDO_02951",0.3935,14.86465,2.00908130967477,0.0701428146350698,0.155072492895911,-5.36971015335902
"436","DGKELBDO_00795",-0.104133333333333,17.4307333333333,-2.0070704197746,0.070383963400685,0.155500559248509,-5.37290107839089
"1212","DGKELBDO_02106",-0.2439,13.735525,-2.00609073300193,0.0705017298160626,0.155655640997407,-5.3744551423155
"986","DGKELBDO_01728",-0.189699999999998,17.9336416666667,-2.00471889137351,0.0706669464775183,0.155915204905219,-5.37663069724468
"2344","DGKELBDO_03954",0.230533333333334,14.9091416666667,2.00281386901767,0.0708969773941724,0.156317324820574,-5.37965068238749
"1651","DGKELBDO_02843",-0.604500000000002,12.7231166666667,-2.00175006771641,0.0710257357955409,0.156495762641758,-5.38133653178012
"378","DGKELBDO_00702",-0.298533333333335,13.80065,-2.00067973136848,0.0711555059526374,0.156676188073371,-5.38303232558855
"2437","DGKELBDO_04096",-0.128366666666668,15.3911416666667,-1.99820675861251,0.0714561838265851,0.157232436772419,-5.3869488117907
"2801","DGKELBDO_04810",0.571400000000002,15.35415,1.99725447164477,0.0715722847820632,0.157382067074537,-5.38845637349284
"723","DGKELBDO_01305;DGKELBDO_05223",-2.21226666666667,13.0817166666667,-1.99326755755588,0.0720602791672623,0.158348712851096,-5.39476446759833
"674","DGKELBDO_01211",0.883566666666665,11.94715,1.99228929338176,0.0721804920251292,0.158506422755854,-5.39631139337032
"514","DGKELBDO_00939",0.202966666666665,16.689675,1.99114478721241,0.072321371223036,0.158709273401592,-5.39812075411412
"524","DGKELBDO_00954",-0.3034,13.0277666666667,-1.98861499299124,0.0726336799245469,0.159215257673915,-5.40211843239077
"1985","DGKELBDO_03357",0.561333333333334,18.2448083333333,1.98848905355101,0.0726492603016977,0.159215257673915,-5.40231738557461
"3001","DGKELBDO_05136",0.170199999999996,16.0611166666667,1.9880917114708,0.0726984372457245,0.159216390005362,-5.40294504976854
"1303","DGKELBDO_02311",0.5578,11.7292416666667,1.98675998179103,0.0728634852704463,0.159409623649996,-5.40504830394109
"1546","DGKELBDO_02699",0.347166666666666,17.373675,1.98659379121474,0.0728841066565997,0.159409623649996,-5.4053107297465
"1117","DGKELBDO_01952",-0.13536666666667,16.112775,-1.98338540032251,0.0732832824045946,0.160175617921065,-5.41037500029791
"93","DGKELBDO_00147",-1.12773666666667,11.5043966666667,-1.98138993408287,0.0735325791690579,0.160613216983416,-5.41352282390764
"1343","DGKELBDO_02370",0.392233333333337,18.4010416666667,1.98094423586522,0.0735883689904581,0.160627847456157,-5.41422570670803
"305","DGKELBDO_00596",0.12916666666667,18.2876166666667,1.9777191067282,0.0739932498059983,0.161403942243484,-5.41930966787053
"3237","DGKELBDO_05564",0.180066666666669,16.0174416666667,1.97665750981307,0.074126976051498,0.161587918481347,-5.42098228295817
"1000","DGKELBDO_01757",-0.172233333333335,15.9199,-1.97161353914012,0.0747654354345273,0.162871174927945,-5.42892366448418
"2106","DGKELBDO_03547",0.257033333333329,14.4074166666667,1.97065642753607,0.0748871626416053,0.163027808491904,-5.43042950006669
"1228","DGKELBDO_02124",-0.607466666666669,12.8158916666667,-1.96982624909736,0.0749928958317355,0.163146580227316,-5.43173535295948
"3198","DGKELBDO_05513",0.251333333333335,21.904825,1.96944543561889,0.0750414435336521,0.163146580227316,-5.43233427818673
"1150","DGKELBDO_02005",-0.132699999999996,17.4712416666667,-1.9681093992749,0.075211998778392,0.163206466403141,-5.43443510303098
"1360","DGKELBDO_02394",-0.404466666666668,13.3282833333333,-1.96800650760826,0.0752251486543127,0.163206466403141,-5.43459686534452
"1944","DGKELBDO_03298",1.80154333333333,13.0296725,1.96772324235151,0.0752613619053458,0.163206466403141,-5.43504218357023
