"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1946","DGKELBDO_03300",-0.372066666666667,13.1255416666667,-1.69045882868791,0.119512228256053,0.198398787850738,-6.22180879636164
"1606","DGKELBDO_02773",-0.118533333333339,20.7515583333333,-1.68716406914795,0.120156760086331,0.199367605985029,-6.22660434419326
"713","DGKELBDO_01291",0.190666666666663,15.6777916666667,1.68563843517479,0.120456261135956,0.199763247053648,-6.22882307171054
"1592","DGKELBDO_02759",0.0883666666666656,17.5398583333333,1.68496545583559,0.120588587384702,0.19985367060719,-6.22980141297198
"290","DGKELBDO_00544",-0.0974666666666657,16.513775,-1.68474000613315,0.120632946041932,0.19985367060719,-6.23012910873088
"267","DGKELBDO_00465",-0.156133333333329,15.727425,-1.68405582288548,0.120767652724992,0.199975586900897,-6.23112342654527
"465","DGKELBDO_00848",-0.207466666666665,13.6095583333333,-1.68358765837484,0.120859905604273,0.200027117418907,-6.2318036703698
"2558","DGKELBDO_04298",-0.12703333333333,17.008825,-1.68198371633261,0.121176443610152,0.200449607427916,-6.23413336381089
"2399","DGKELBDO_04021",-0.358200000000002,14.2776333333333,-1.68072699511156,0.121424974816672,0.200759230722664,-6.23595781965549
"2215","DGKELBDO_03723",0.543500000000005,11.5292,1.67866167880746,0.121834404018137,0.201334429266335,-6.23895442799236
"2782","DGKELBDO_04771",-0.657733333333333,16.7416333333333,-1.67602034024978,0.122359819959259,0.202100621356231,-6.2427836537254
"196","DGKELBDO_00299",2.2158,16.6355,1.67333165838695,0.122896729224479,0.202885014138494,-6.24667788120956
"2619","DGKELBDO_04391",0.40913333333334,20.6093416666667,1.67158863293923,0.123245919914958,0.203358875421958,-6.24920047819398
"1966","DGKELBDO_03328",-0.220866666666666,13.0175166666667,-1.66765031541443,0.124038165944658,0.204562943029698,-6.25489451653899
"1956","DGKELBDO_03313",-0.353666666666669,13.0019,-1.66159468693588,0.125265191647121,0.206452137386803,-6.26363430248325
"2799","DGKELBDO_04807",-0.210099999999999,13.440325,-1.66114247096392,0.125357254391315,0.206452137386803,-6.26428620850033
"285","DGKELBDO_00524",-0.181000000000004,14.3590666666667,-1.66106524604434,0.125372981964419,0.206452137386803,-6.26439752398229
